,id,url,titre,categorie,gouvernorat,neuf,source
0,0,https://www.tayara.tn/item/maisons-et-villas/ben-arous/hammam-lif/hammamlif-chaabia-villa-400-m-vendre/693aba448914daae5199a829/,Hammam-Lif Chaabia villa 400 m² à vendre,Maisons et Villas,Ben Arous,False,tayara
1,1,https://www.tayara.tn/item/maisons-et-villas/ben-arous/el-mourouj-6/a-vendre-villa-individuelle/69273d4a265523b710ebcdac/,A VENDRE VILLA INDIVIDUELLE,Maisons et Villas,Ben Arous,False,tayara
2,2,https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/villa-dexception-haut-standing-menzel-abderahmen/691704d8265523b710e48d74/,VILLA D'EXCEPTION - HAUT STANDING  À MENZEL ABDERAHMEN,Maisons et Villas,tunis,False,tayara
3,3,https://www.tayara.tn/item/appartements/ben-arous/medina-jedida/appartement-s2-el-mdina-jadida/693990a6cd04d08be748b829/,Appartement S+2 à El Médina Jadida,Appartements,Ben Arous,False,tayara
4,4,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/appartement-ainzaghouansud/693ab7278914daae5199a66a/,Appartement Ain_Zaghouan_sud,Appartements,Tunis,False,tayara
5,5,https://www.tayara.tn/item/appartements/monastir/monastir/a-vendre-appartement-s2-monastir-c1/693ab70e8914daae5199a65a/,"A Vendre – Appartement S+2 à Monastir, C1",Appartements,Monastir,False,tayara
6,6,https://www.tayara.tn/item/appartements/ariana/el-menzah-7/menzah-7-bis-appartement-s1-vendre/693ab6c4cd04d08be7492fcf/,MENZAH 7 BIS: APPARTEMENT S+1 À VENDRE,Appartements,Ariana,False,tayara
7,7,https://www.tayara.tn/item/maisons-et-villas/tunis/ain-zaghouen/ainzaghouan-maison-vendre/693ab6b18914daae5199a61b/,Ain-Zaghouan maison à vendre,Maisons et Villas,Tunis,False,tayara
8,8,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s2-vendre/693ab67bcd04d08be7492fa7/,ENNASR 2: APPARTEMENT S+2 À VENDRE,Appartements,Ariana,False,tayara
9,9,https://www.tayara.tn/item/appartements/ariana/cite-ennkhilet/ennkhilet-appartement-s2-vendre/693ab658cd04d08be7492f92/,ENNKHILET : APPARTEMENT S+2 À VENDRE,Appartements,Ariana,False,tayara
10,10,https://www.tayara.tn/item/appartements/tunis/cit-olympique/cit-olympique-appartement-s2-a-vendre/693ab639cd04d08be7492f7f/,📍CITÉ OLYMPIQUE: APPARTEMENT S+2  A VENDRE,Appartements,Tunis,False,tayara
11,11,https://www.tayara.tn/item/maisons-et-villas/tunis/ezzouhour/cite-ezzouhour-4-tunis-etage-de-villa-vendre-avec-certificat-de-proprit/693ab5d4cd04d08be7492f51/,CITE EZZOUHOUR 4 - TUNIS  : ETAGE DE VILLA  À VENDRE AVEC CERTIFICAT DE PROPRIÉTÉ,Maisons et Villas,Tunis,False,tayara
12,12,https://www.tayara.tn/item/appartements/ben-arous/ezzahra/appartement-s3-situ-ezzahra-lyce/6936e5ec26d7926c8bc4f2a6/,Appartement S3 Situé À Ezzahra Lycée,Appartements,Ben Arous,False,tayara
13,13,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-situ-la-nouvelle-soukra-direct-promoteur-/693ab529cd04d08be7492ef6/,À VENDRE : Des appartements S+1 situé à La Nouvelle Soukra ( Direct Promoteur ),Appartements,Tunis,False,tayara
14,14,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s2-idalement-situ-cit-wahat/693ab5148914daae5199a53e/,"À LOUER : Un appartement S+2, idéalement situé à Cité Wahat",Appartements,tunis,False,tayara
15,15,https://www.tayara.tn/item/appartements/tunis/l-aouina/appartement-s4-el-wahat-aouina/693446f48914daae5196ea57/,Appartement S4 À El Wahat Aouina,Appartements,Tunis,False,tayara
16,16,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-centre-mdical-ain-zaghouan-direct-promoteur-/693ab5028914daae5199a530/,À VENDRE :Centre Médical  à Ain Zaghouan ( Direct Promoteur ),Appartements,Tunis,False,tayara
17,17,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s2-s3-haut-standing-situs-la-nouvelle-soukra/693ab4cbcd04d08be7492eb7/,À VENDRE : Des appartements S+2 & S+3 Haut standing situés à La Nouvelle Soukra,Appartements,Tunis,False,tayara
18,18,https://www.tayara.tn/item/appartements/ariana/ghazela/ghazela-appartement-s3-a-vendre/693ab4b7cd04d08be7492eaf/,GHAZELA : APPARTEMENT S+3  A VENDRE,Appartements,Ariana,False,tayara
19,19,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s3-vendre/693ab4a28914daae5199a4fd/,ENNASR 2 : APPARTEMENT S+3 À VENDRE,Appartements,Ariana,False,tayara
20,20,https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane/-opportunit-ne-pas-rater-france-ville-villa-s7-faisant-langle-vendre/693ab46ccd04d08be7492e8a/,"🛑 OPPORTUNITÉ NE PAS RATER 
📍 FRANCE VILLE – VILLA S+7 FAISANT L’ANGLE À VENDRE",Maisons et Villas,Tunis,False,tayara
21,21,https://www.tayara.tn/item/appartements/ariana/el-menzah-7/-7-/693ab3da8914daae5199a48d/,بدون وسيط بيع شقة بالمنزه 7 من المالك مباشرة,Appartements,Ariana,False,tayara
22,22,https://www.tayara.tn/item/appartements/tunis/la-marsa/vente-appartement-s3-a-la-marsa/692d8e39145e1617cbaec68e/,VENTE APPARTEMENT S+3 A LA MARSA,Appartements,Tunis,False,tayara
23,23,https://www.tayara.tn/item/appartements/tunis/el-menzah-1/vente-appartement-s3-renov-a-el-menzah-1/693ab14f8914daae5199a33a/,VENTE APPARTEMENT S+3 RENOVÉ A EL MENZAH 1,Appartements,Tunis,False,tayara
24,24,https://www.tayara.tn/item/appartements/monastir/monastir/appartement-s3-cit-el-agba/693a8f968914daae51998d2d/,Appartement S+3 à cité El Agba,Appartements,Monastir,False,tayara
25,25,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/a-vendre-appartement-s2-a-ain-zaghouan/693ab040cd04d08be7492c71/,A vendre appartement s+2 a Ain zaghouan,Appartements,Tunis,False,tayara
26,26,https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/693aae7ccd04d08be7492b63/,Appartement S+3 à Vendre,Appartements,La Manouba,False,tayara
