url,title,price,location_time,category,seller
https://www.tayara.tn/item/terrains-et-fermes/kasserine/sbetla/idal-pour-habitation/693abac78914daae5199a871/,Idéal pour habitation,,"Kasserine, 8 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/maisons-et-villas/ben-arous/hammam-lif/hammamlif-chaabia-villa-400-m-vendre/693aba448914daae5199a829/,Hammam-Lif Chaabia villa 400 m² à vendre,,"Ben Arous, 10 minutes ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/ben-arous/el-mourouj-6/a-vendre-villa-individuelle/69273d4a265523b710ebcdac/,A VENDRE VILLA INDIVIDUELLE,,"Ben Arous, 12 minutes ago",Maisons et Villas,
https://www.tayara.tn/item/terrains-et-fermes/nabeul/soliman/soliman-vendre-terrain-317m/693ab91d8914daae5199a780/,Soliman à vendre terrain 317m²,,"Nabeul, 15 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/villa-dexception-haut-standing-menzel-abderahmen/691704d8265523b710e48d74/,VILLA D'EXCEPTION - HAUT STANDING  À MENZEL ABDERAHMEN,,"tunis, 16 minutes ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/ben-arous/medina-jedida/appartement-s2-el-mdina-jadida/693990a6cd04d08be748b829/,Appartement S+2 à El Médina Jadida,,"Ben Arous, 16 minutes ago",Appartements,
https://www.tayara.tn/item/terrains-et-fermes/la-manouba/oued-ellil/ouedellil-cit-anbar-terrain-172m/693ab8938914daae5199a73f/,Oued-Ellil cité Anbar terrain 172m²,,"La Manouba, 17 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/terrains-et-fermes/nabeul/klibia/terrain-dhabitation-255-m-cit-merdes-2-kelibia/6901d256b756576ab40b0610/,Terrain d’habitation 255 m² à cité merdes 2 Kelibia,,"Nabeul, 19 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/appartement-ainzaghouansud/693ab7278914daae5199a66a/,Appartement Ain_Zaghouan_sud,,"Tunis, 23 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/monastir/monastir/a-vendre-appartement-s2-monastir-c1/693ab70e8914daae5199a65a/,"A Vendre – Appartement S+2 à Monastir, C1",,"Monastir, 24 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/el-menzah-7/menzah-7-bis-appartement-s1-vendre/693ab6c4cd04d08be7492fcf/,MENZAH 7 BIS: APPARTEMENT S+1 À VENDRE,,"Ariana, 25 minutes ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/tunis/ain-zaghouen/ainzaghouan-maison-vendre/693ab6b18914daae5199a61b/,Ain-Zaghouan maison à vendre,,"Tunis, 25 minutes ago",Maisons et Villas,
https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/tunis/el-menzah-9/menzah-9-vente-fonds-de-commerce-restaurant-avec-matriel/693ab692cd04d08be7492fb3/,MENZAH 9 – VENTE FONDS DE COMMERCE RESTAURANT (AVEC MATÉRIEL),,"Tunis, 26 minutes ago","Magasins, Commerces et Locaux industriels",
https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s2-vendre/693ab67bcd04d08be7492fa7/,ENNASR 2: APPARTEMENT S+2 À VENDRE,,"Ariana, 26 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/cite-ennkhilet/ennkhilet-appartement-s2-vendre/693ab658cd04d08be7492f92/,ENNKHILET : APPARTEMENT S+2 À VENDRE,,"Ariana, 27 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/cit-olympique/cit-olympique-appartement-s2-a-vendre/693ab639cd04d08be7492f7f/,📍CITÉ OLYMPIQUE: APPARTEMENT S+2  A VENDRE,,"Tunis, 27 minutes ago",Appartements,
https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/ariana/la-soukra/-la-soukra-vendre-open-speace/693ab61f8914daae5199a5d1/,📍 LA SOUKRA – À VENDRE  OPEN SPEACE,,"Ariana, 28 minutes ago","Magasins, Commerces et Locaux industriels",
https://www.tayara.tn/item/maisons-et-villas/tunis/ezzouhour/cite-ezzouhour-4-tunis-etage-de-villa-vendre-avec-certificat-de-proprit/693ab5d4cd04d08be7492f51/,CITE EZZOUHOUR 4 - TUNIS  : ETAGE DE VILLA  À VENDRE AVEC CERTIFICAT DE PROPRIÉTÉ,,"Tunis, 29 minutes ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/ben-arous/ezzahra/appartement-s3-situ-ezzahra-lyce/6936e5ec26d7926c8bc4f2a6/,Appartement S3 Situé À Ezzahra Lycée,,"Ben Arous, 31 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-situ-la-nouvelle-soukra-direct-promoteur-/693ab529cd04d08be7492ef6/,À VENDRE : Des appartements S+1 situé à La Nouvelle Soukra ( Direct Promoteur ),,"Tunis, 32 minutes ago",Appartements,
https://www.tayara.tn/item/terrains-et-fermes/tunis/el-manar-1/-manar-1-terrain-vendre/693ab5248914daae5199a54a/,📍 MANAR 1:  TERRAIN À VENDRE,,"Tunis, 32 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s2-idalement-situ-cit-wahat/693ab5148914daae5199a53e/,"À LOUER : Un appartement S+2, idéalement situé à Cité Wahat",,"tunis, 32 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/appartement-s4-el-wahat-aouina/693446f48914daae5196ea57/,Appartement S4 À El Wahat Aouina,,"Tunis, 32 minutes ago",Appartements,
https://www.tayara.tn/item/terrains-et-fermes/nabeul/soliman/ferme-8230-m-avec-culture-hydroponique-soliman/69343f1acd04d08be7466af3/,Ferme 8230 M² avec Culture Hydroponique à Soliman,,"Nabeul, 32 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-centre-mdical-ain-zaghouan-direct-promoteur-/693ab5028914daae5199a530/,À VENDRE :Centre Médical  à Ain Zaghouan ( Direct Promoteur ),,"Tunis, 32 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s2-s3-haut-standing-situs-la-nouvelle-soukra/693ab4cbcd04d08be7492eb7/,À VENDRE : Des appartements S+2 & S+3 Haut standing situés à La Nouvelle Soukra,,"Tunis, 33 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/ghazela/ghazela-appartement-s3-a-vendre/693ab4b7cd04d08be7492eaf/,GHAZELA : APPARTEMENT S+3  A VENDRE,,"Ariana, 34 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s3-vendre/693ab4a28914daae5199a4fd/,ENNASR 2 : APPARTEMENT S+3 À VENDRE,,"Ariana, 34 minutes ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane/-opportunit-ne-pas-rater-france-ville-villa-s7-faisant-langle-vendre/693ab46ccd04d08be7492e8a/,"🛑 OPPORTUNITÉ NE PAS RATER 
📍 FRANCE VILLE – VILLA S+7 FAISANT L’ANGLE À VENDRE",,"Tunis, 35 minutes ago",Maisons et Villas,
https://www.tayara.tn/item/terrains-et-fermes/tunis/sjoumi/ferme-17-ha-a-tunis/66c48f6e860508809cffb92c/,FERME   17 ha   A  TUNIS,,"Tunis, 36 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/terrains-et-fermes/tunis/sjoumi/des-lots-de-01-ha/66c49180860508809cffbee2/,DES   LOTS DE   01 Ha,,"Tunis, 37 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/ariana/el-menzah-7/-7-/693ab3da8914daae5199a48d/,بدون وسيط بيع شقة بالمنزه 7 من المالك مباشرة,,"Ariana, 37 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/la-marsa/vente-appartement-s3-a-la-marsa/692d8e39145e1617cbaec68e/,VENTE APPARTEMENT S+3 A LA MARSA,,"Tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/el-menzah-1/vente-appartement-s3-renov-a-el-menzah-1/693ab14f8914daae5199a33a/,VENTE APPARTEMENT S+3 RENOVÉ A EL MENZAH 1,,"Tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/monastir/monastir/appartement-s3-cit-el-agba/693a8f968914daae51998d2d/,Appartement S+3 à cité El Agba,,"Monastir, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/a-vendre-appartement-s2-a-ain-zaghouan/693ab040cd04d08be7492c71/,A vendre appartement s+2 a Ain zaghouan,,"Tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/693aae7ccd04d08be7492b63/,Appartement S+3 à Vendre,,"La Manouba, an hour ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/la-manouba/denden/maison-inachev-vendre/691499d9145e1617cba42dbe/,Maison Inachevé à Vendre,,"La Manouba, an hour ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/685c41f9d5464a896c9b3793/,Appartement S+3 à Vendre,,"La Manouba, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s3-vendre/68d920db07c7711d7c779d3b/,Appartement S+3 à Vendre,,"tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s2-ksar-sad/693995d38914daae519931f4/,Appartement S2 À Ksar Saïd,,"tunis, an hour ago",Appartements,
https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/ben-arous/ezzahra/a-vendre-fonds-de-commerce-ezzahra/693aaa75cd04d08be7492901/,A VENDRE FONDS DE COMMERCE EZZAHRA,,"Ben Arous, an hour ago","Magasins, Commerces et Locaux industriels",
