surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
127,Non spécifié,Non spécifié,False,False,False,False,True,True,False,Nouveau,True,False,False,True,581 389 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671867/%C3%A0-vendre-un-appartement-s1-%C3%A0-1-min-de-la-plage
72,Non spécifié,Non spécifié,False,False,False,False,True,True,False,Nouveau,True,False,True,True,330 810 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671871/coquet-s2-%C3%A0-vendre-une-minute-de-la-mer
79,1,1,False,True,False,True,True,True,True,Nouveau,True,False,True,True,330 912 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671877/bel-s1-avec-grande-terrasse-%C3%A0-1-min-de-la-plage
149,3,2,False,True,False,True,True,True,True,Nouveau,True,False,False,True,604 877 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671875/charmant-s1-%C3%A0-kantaoui-%C3%A0-1-min-de-la-plage
115,2,2,False,True,False,False,True,True,True,Nouveau,True,False,True,True,514 701 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671885/coquet-s3-avec-grande-terrasse-%C3%A0-1-min-de-la-plage
64,Non spécifié,Non spécifié,False,True,False,True,True,True,True,Nouveau,True,False,False,True,274 984 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670672/coquet-s1-%C3%A0-kantaoui-%C3%A0-1-min-de-la-plage
73,Non spécifié,Non spécifié,False,False,False,False,True,True,False,Nouveau,True,False,True,True,330 810 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671899/coquet-s1-avec-belle-terrasse-vue-mer
74,1,1,False,False,False,False,True,True,True,Nouveau,True,False,True,True,304 165 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670681/bel-appartement-s1-%C3%A0-kantaoui%C3%A0-1-min-de-la-plage
67,1,1,False,True,False,False,True,True,True,Nouveau,True,False,False,True,298 230 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670675/appartement-s1-%C3%A0-kantaoui-une-minute-de-la-mer
164,3,2,False,True,False,False,True,True,True,Nouveau,True,False,False,True,548 080 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671887/%C3%A0-vendre-bel-appartement-s3-vue-mer
95,2,1,False,False,False,True,True,True,True,Nouveau,True,False,True,True,393 633 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670704/grande-appartement-avec-belle-terrasse
75,1,1,False,False,False,False,True,True,True,Nouveau,True,False,True,True,338 677 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671880/bel-appartement-s2-%C3%A0-kantaoui-%C3%A0-1-min-de-la-plage
100,3,1,False,False,False,False,True,True,True,Bon état,False,False,True,False,350 000 TND,"RiadhalAndalousà
				ArianaVille",https://www.mubawab.tn/fr/a/8267935/a-vendre-un-s3-a-riadh-el-andalous
89,2,1,False,True,False,False,True,True,True,Nouveau,True,False,False,False,620 000 TND,"LesJardinsdeCarthageà
				LeKram",https://www.mubawab.tn/fr/a/8271446/mets-en-vente-un-appartement-s2-r%C3%A9sidence-evolo
111,2,2,False,False,False,False,False,True,True,Bon état,False,False,True,True,282 000 TND,"ElMourouj6à
				ElMourouj",https://www.mubawab.tn/fr/pa/7789539/vend-appartement-%C3%A0-el-mourouj-6-surface-totale-111-m%C2%B2
86,2,1,False,False,False,False,True,True,True,Nouveau,True,False,False,False,370 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/7951202/s2-neuf-cit%C3%A9-ennasr-2
128,3,2,False,False,False,False,True,True,True,Nouveau,True,False,False,True,478 000 TND,"ElMenzah8à
				ArianaVille",https://www.mubawab.tn/fr/a/8190181/s3-neuf-tr%C3%A8s-haut-standing-menzah-9-c
103,2,2,False,False,False,False,True,True,True,Nouveau,True,False,True,True,412 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/8186306/s2-neuf-avec-terrasse-cit%C3%A9-ennasr-promoteur
107,2,2,False,False,False,False,True,True,True,Nouveau,True,False,False,False,422 000 TND,"ElMenzah8à
				ArianaVille",https://www.mubawab.tn/fr/a/8186379/s2-neuf-%C3%A0-menzah-9-c-direct-promoteur
88,2,2,False,True,False,True,True,True,True,Nouveau,True,False,True,False,280 000 TND,"RouteTeniourà
				SfaxVille",https://www.mubawab.tn/fr/a/8242531/s2-neuf-direct-promoteur-sfax
47,1,1,False,False,False,False,True,True,True,Nouveau,True,False,False,False,220 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/8267986/studio-bonne-affaire-cit%C3%A9-ennasr-promoteur
135,2,2,False,False,False,True,True,True,False,Nouveau,True,False,True,True,563 644 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670707/appartement-s2-avec-belle-terrasse-%C3%A0-kantaoui
111,Non spécifié,Non spécifié,False,True,False,True,True,True,True,Nouveau,True,False,False,True,425 995 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671874/un-coquet-s3-%C3%A0-kantaoui-%C3%A0-1-min-de-la-plage
112,2,2,False,True,False,False,True,True,True,Nouveau,True,False,True,True,426 690 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670686/bel-appartement-avec-terrasse-s2-%C3%A0-kantaoui
