surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
335,6,3,False,True,False,False,False,False,False,Nouveau,True,False,False,False,1 870 000 TND,ElAouina,https://www.mubawab.tn/fr/a/8231632/villa-luxueuse-avec-piscine-%C3%A0-vendre-%C3%A0-l-aouina
245,3,2,False,True,False,True,True,True,False,Bon état,False,False,True,False,790 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8212588/duplex-s3-avec-piscine-%C3%A0-vendre-%C3%A0-la-soukra
430,6,Non spécifié,False,True,False,True,False,False,False,Non spécifié,False,False,False,False,1 950 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8082525/une-belle-villa-ind%C3%A9pendante-%C3%A0-vendre-%C3%A0-la-soukra
180,3,Non spécifié,False,True,False,True,True,True,False,Non spécifié,False,False,False,False,960 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8212587/villa-neuve-s3-avec-piscine-%C3%A0-vendre-%C3%A0-la-soukra
314,5,Non spécifié,False,True,False,True,False,False,False,Non spécifié,False,False,False,False,1 870 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8168231/luxueuse-villa-s5-%C3%A0-vendre-%C3%A0-la-soukra
340,4,Non spécifié,False,True,False,False,False,False,False,Non spécifié,False,False,True,True,1 137 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8265974/triplex-s3-%C3%A0-vendre-%C3%A0-la-soukra
238,5,Non spécifié,False,True,False,True,False,False,False,Non spécifié,False,False,True,True,1 250 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8239137/villa-de-haut-standing-s4-%C3%A0-vendre-%C3%A0-la-soukra
400,5,Non spécifié,False,True,False,True,False,False,False,Non spécifié,False,False,True,False,850 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/7850293/une-villa-inachev%C3%A9e-s4-%C3%A0-vendre-%C3%A0-la-soukra
156,3,1,False,False,False,True,True,False,False,Bon état,False,False,False,False,150 000 TND,Kélibia,https://www.mubawab.tn/fr/a/8219101/maison-rdc-s3-avec-garage
160,4,2,False,False,False,False,True,False,False,Bon état,False,False,True,False,290 000 TND,SousseCorniche,https://www.mubawab.tn/fr/a/8183068/a-vendre-maison-arabesque-%C3%A0-centre-ville
260,5,4,False,False,False,True,False,False,False,Bon état,False,False,True,False,1 080 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8199275/immeuble-tilar-%C3%A0-vendre-%C3%A0-ariana
325,6,6,False,False,False,False,False,False,False,Bon état,False,False,False,False,700 000 TND,"Gammarthà
				LaMarsa",https://www.mubawab.tn/fr/a/8143266/villa-raya-%C3%A0-vendre-%C3%A0-gammarth
220,8,2,False,False,False,False,False,True,False,Bon état,False,False,True,False,350 000 TND,"LeBardoà
				LeBardo",https://www.mubawab.tn/fr/a/8270687/deux-maisons-ind%C3%A9pendantes-%C3%A0-cit%C3%A9-ibn-khaldoun
200,3,1,False,False,False,True,False,False,False,Bon état,False,False,True,False,80 000 TND,Kélibia,https://www.mubawab.tn/fr/a/8224340/maison-arabe-%C3%A0-k%C3%A9libia
781,7,2,False,False,False,True,False,True,False,Bon état,False,False,True,False,890 000 TND,"Montfleuryà
				Tunis",https://www.mubawab.tn/fr/a/8257684/villa-%C3%A0-vendre-%C3%A0-montfleury
70,2,1,False,True,False,False,True,True,True,Bon état,False,False,True,False,355 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8080960/luxe-s1-%C3%A0-la-soukra
600,11,5,False,False,False,False,False,False,False,Bon état,False,False,True,False,850 000 TND,"LeBardoà
				LeBardo",https://www.mubawab.tn/fr/a/8190806/projet-de-foyer-universitaire-au-bardo
310,7,4,False,False,False,False,False,False,False,Bon état,False,False,True,False,350 000 TND,"SidiHassineà
				SidiHassine",https://www.mubawab.tn/fr/a/8147809/grande-maison-300-m%C2%B2-%C3%A0-sidi-hassine-tunis
91,4,1,False,False,False,False,False,False,False,À rénover,False,False,False,False,145 000 TND,"BabElAkouesà
				Tunis",https://www.mubawab.tn/fr/a/8252205/maison-91-m%C2%B2-%C3%A0-bab-lakhouas
50,1,1,False,False,False,False,False,False,False,Bon état,False,False,False,False,95 000 TND,"ElHalfaouineà
				Tunis",https://www.mubawab.tn/fr/a/8197987/maison-inachev%C3%A9e-au-c%C5%93ur-de-el-halfaouine
124,3,2,False,False,False,True,True,True,False,Bon état,False,False,True,False,"399 000 TNDBaisse du prix
													21 000 TND","GammarthVillageà
				LaMarsa",https://www.mubawab.tn/fr/a/8233450/maison-en-duplex-residence-gammarth-harrouch
360,3,2,False,False,False,True,True,True,False,Bon état,False,False,True,False,900 000 TND,Tantana,https://www.mubawab.tn/fr/a/8271174/villa-ind%C3%A9pendant-en-troisi%C3%A8me-position-de-la-mer
270,3,3,False,False,False,False,False,True,False,Bon état,False,False,True,False,570 000 TND,"Hammametà
				Hammamet",https://www.mubawab.tn/fr/a/8116693/maison-en-s3-%C3%A0-vendre-au-centre-hammamet
250,4,2,False,False,False,False,False,False,False,Bon état,False,False,False,False,570 000 TND,"Hammametà
				Hammamet",https://www.mubawab.tn/fr/a/8271023/a-vendre-maison-s4-hammamet-centre
186,7,2,False,False,False,False,False,False,False,Bon état,False,False,True,False,450 000 TND,"BabSouikaà
				Tunis",https://www.mubawab.tn/fr/a/8268590/a-vendre-maison-r2-%C3%A0-bab-souika
260,4,5,False,True,False,True,True,True,False,Nouveau,True,False,True,True,1 250 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/7847354/triplex-alice-%C3%A0-vendre-%C3%A0-la-soukra
300,4,2,False,False,False,True,True,True,False,Bon état,False,False,True,False,650 000 TND,"ElManar1à
				ElMenzah",https://www.mubawab.tn/fr/a/7801187/villa-marie-ange-%C3%A0-vendre-%C3%A0-el-manar-1
200,3,Non spécifié,False,True,False,True,False,False,False,Non spécifié,False,False,False,False,1 580 000 TND,"LaMarsaà
				LaMarsa",https://www.mubawab.tn/fr/a/8237032/coquet-duplex-s3-%C3%A0-gammarth
350,5,Non spécifié,False,False,False,False,True,True,False,Non spécifié,False,False,False,False,750 000 TND,"LaMarsaà
				LaMarsa",https://www.mubawab.tn/fr/a/8258691/duplex-s5-%C3%A0-la-marsa
386,6,3,False,True,False,False,True,True,False,Bon état,False,False,True,False,950 000 TND,"LaGouletteà
				LaGoulette",https://www.mubawab.tn/fr/a/7962626/villa-%C3%A0-kheireddine-la-goulette-300m-de-la-plage
208,3,3,False,True,False,True,True,True,False,Bon état,False,False,True,False,1 350 000 TND,"LaMarsaà
				LaMarsa",https://www.mubawab.tn/fr/a/8230344/triplex-s3-avec-piscine-%C3%A0-la-marsa
250,4,2,False,False,False,False,False,True,False,Bon état,False,False,True,False,650 000 TND,"Nabeulà
				Nabeul",https://www.mubawab.tn/fr/a/8198168/villa-%C3%A0-vendre-%C3%A0-nabeul-afh1
110,2,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,390 000 TND,"Midouneà
				Midoun",https://www.mubawab.tn/fr/a/8256426/maison-meubl%C3%A9e-%C3%A0-vendre-%C3%A0-midoun-djerba
195,2,2,False,False,False,True,False,False,False,Nouveau,True,False,True,False,500 000 TND,Kélibia,https://www.mubawab.tn/fr/a/8231701/duplex-inachev%C3%A9e-%C3%A0-cit%C3%A9-riadh-kelibia
125,3,1,False,False,False,False,False,False,False,Bon état,False,False,True,False,420 000 TND,"CitéelGhazelaà
				Raoued",https://www.mubawab.tn/fr/a/8269425/maison-ind%C3%A9pendante-272-m%C2%B2-%C3%A0-cit%C3%A9-el-ghazela
322,3,2,False,False,False,False,False,False,False,Nouveau,True,False,False,False,950 000 TND,"LesJardinsdeCarthageà
				LeKram",https://www.mubawab.tn/fr/a/8106887/villa-inachev%C3%A9e-%C3%A0-vendre-aux-jardins-de-carthage
550,6,2,False,False,False,True,False,False,False,Bon état,False,False,False,False,430 000 TND,Hergla,https://www.mubawab.tn/fr/a/8264660/%C3%A0-vendre-%E2%80%93-maison-traditionnelle-au-c%C5%93ur-de-hergla
150,2,1,False,True,False,True,True,True,False,Nouveau,True,False,True,False,520 000 TND,"ElMaamouraà
				BeniKhiar",https://www.mubawab.tn/fr/a/8110066/villa-diamant-pied-dans-l-eau
580,5,1,False,False,False,False,True,True,False,Nouveau,True,False,True,False,890 000 TND,"BeniKhiarà
				BeniKhiar",https://www.mubawab.tn/fr/a/8134605/%C3%A0-vendre-villa-en-r1-de-530m%C2%B2-b%C3%A2ti-%C3%A0-beni-khiar
902,8,2,False,False,False,True,True,True,False,À rénover,False,False,True,False,3 000 000 TND,"Montplaisirà
				Tunis",https://www.mubawab.tn/fr/a/8240827/villa-%C3%A0-r%C3%A9nover-%E2%80%93-deux-niveaux-ind%C3%A9pendants-tunis
250,3,2,False,True,False,True,True,True,False,Bon état,False,False,True,False,1 270 000 TND,"Chotrana2à
				LaSoukra",https://www.mubawab.tn/fr/a/8266332/a-vendre-villa-%C3%A0-soukra-chotrana-2
120,6,2,False,False,False,False,False,False,False,Bon état,False,False,True,False,260 000 TND,Kélibia,https://www.mubawab.tn/fr/a/7820535/rdc-et-2-%C3%A9tages-au-centre-ville-k%C3%A9libia
288,9,4,False,False,False,True,True,True,False,Bon état,False,False,True,False,690 000 TND,BarraketEssahel,https://www.mubawab.tn/fr/a/8266157/%C3%A0-vendre-3-apparts-1-studio-%C3%A0-hammamet
385,3,1,False,False,False,False,False,True,False,Nouveau,True,False,True,False,690 000 TND,"Hammametà
				Hammamet",https://www.mubawab.tn/fr/a/8233255/a-vendre-duplex-avec-studio-ind%C3%A9pendant
177,2,1,False,False,False,False,False,False,False,À rénover,False,False,False,False,420 000 TND,KhezamaOuest,https://www.mubawab.tn/fr/a/8264921/villa-%C3%A0-vendre
180,3,2,False,False,False,False,False,False,False,À rénover,False,False,True,False,560 000 TND,"Aouinaà
				LaMarsa",https://www.mubawab.tn/fr/a/7527134/une-villa-jumel%C3%A9e-s3-%C3%A0-vendre-aux-jardins-de-l-aouina
740,4,1,False,False,False,True,False,False,False,Bon état,False,False,True,False,640 000 TND,"Raouedà
				Raoued",https://www.mubawab.tn/fr/a/8132944/villa-anwar-%C3%A0-vendre-%C3%A0-raoued-plage
514,6,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,2 000 000 TND,"ElMenzah6à
				ArianaVille",https://www.mubawab.tn/fr/a/7800519/villa-andros-%C3%A0-vendre-%C3%A0-el-manzah-6
800,6,6,False,False,False,False,False,False,False,Bon état,False,False,True,False,1 750 000 TND,"MutuelleVilleà
				ElMenzah",https://www.mubawab.tn/fr/a/8002980/immeuble-commercial-atlantique-%C3%A0-mutuelle-ville
287,4,2,False,False,False,False,False,False,False,Bon état,False,False,False,False,950 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8201652/immeuble-aur%C3%A9lia-%C3%A0-vendre-%C3%A0-borj-louzir
120,4,3,False,False,False,False,False,False,False,Bon état,False,False,True,False,400 000 TND,"NouvelleMedinaà
				NouvelleMedina",https://www.mubawab.tn/fr/a/8142230/immeuble-nihel-%C3%A0-vendre-%C3%A0-medina-jadida
155,4,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,550 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8135496/duplex-fluorite-%C3%A0-vendre-%C3%A0-ariana
370,6,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,750 000 TND,"Ezzahraà
				Ezzahra",https://www.mubawab.tn/fr/a/8170807/immeuble-ramousa-%C3%A0-vendre-%C3%A0-ezzahra
700,6,4,False,False,False,False,False,False,False,Bon état,False,False,True,False,600 000 TND,"RiadhalAndalousà
				ArianaVille",https://www.mubawab.tn/fr/a/7970770/villa-jade-%C3%A0-vendre-%C3%A0-riadh-el-andalous
450,5,2,False,False,False,False,False,False,False,Bon état,False,False,True,False,690 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/7972176/immeuble-invest-el-amal-%C3%A0-vendre-%C3%A0-ariana
600,10,4,False,False,False,True,False,False,False,Bon état,False,False,True,False,1 100 000 TND,"NouvelleMedinaà
				NouvelleMedina",https://www.mubawab.tn/fr/a/8171276/immeuble-rawand-%C3%A0-vendre-%C3%A0-la-nouvelle-medina
190,4,3,False,True,False,True,True,True,True,Nouveau,True,False,True,True,850 000 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/a/7872801/a-vendre-duplex-s4-%C3%A0-chotrana-i
200,4,2,False,True,False,True,False,True,False,Nouveau,True,False,True,False,985 000 TND,"Chotrana3à
				LaSoukra",https://www.mubawab.tn/fr/a/8118749/a-vendre-villa-rdc-%C3%A0-soukra
230,3,2,False,False,False,True,False,False,False,Bon état,False,False,False,False,700 000 TND,KalâaSghira,https://www.mubawab.tn/fr/a/8245043/maison-terrain-%C3%A0-vendre-%E2%80%93-kalaa-sghira-r5
150,3,2,False,True,False,True,False,False,False,À rénover,False,False,True,False,680 000 TND,"CitéelGhazelaà
				Raoued",https://www.mubawab.tn/fr/a/8195635/a-vendre-villa-de-525-m%C2%B2-%C3%A0-cit%C3%A9-ghazela
107,2,1,False,False,False,False,False,False,False,Nouveau,True,False,True,False,250 000 TND,HammamGhezèze,https://www.mubawab.tn/fr/a/8266097/maison-%C3%A0-plage-ezzahra-hammam-ghezez
289,3,1,False,True,False,True,False,False,False,Nouveau,True,False,True,False,2 100 000 TND,"GammarthSupérieurà
				LaMarsa",https://www.mubawab.tn/fr/a/8053570/a-vendre-une-villa-de-luxe-%C3%A0-gammarth
245,3,3,False,False,False,True,True,True,False,Bon état,False,False,True,False,690 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8226492/%C3%A0-vendre-un-duplex-%C3%A0-la-soukra
260,3,2,False,False,False,False,True,True,False,Nouveau,True,False,False,False,750 000 TND,"RiadhalAndalousà
				ArianaVille",https://www.mubawab.tn/fr/a/8157884/duplex-s3-riadh-landalous
458,5,3,False,False,False,True,True,True,False,Nouveau,True,False,True,False,1 200 000 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/a/7962447/une-superbe-villa-%C3%A0-chotrana-1
505,8,4,False,False,False,True,False,False,False,Bon état,False,False,True,False,1 200 000 TND,"HammamLifà
				HammamLif",https://www.mubawab.tn/fr/a/8172852/immeuble-laizy-%C3%A0-vendre-%C3%A0-hamem-chat
380,6,3,False,False,False,False,False,False,False,Bon état,False,False,True,False,800 000 TND,"BouMhelà
				BoumhelBassatine",https://www.mubawab.tn/fr/a/8175389/immeuble-florentina-%C3%A0-vendre-%C3%A0-boumhal
1700,16,3,False,False,False,False,True,False,False,Bon état,False,False,False,False,2 500 000 TND,"Mégrineà
				Mégrine",https://www.mubawab.tn/fr/a/8176009/immeuble-chavez-%C3%A0-vendre-%C3%A0-megrine
885,8,3,False,False,False,True,False,False,False,Bon état,False,False,True,False,1 500 000 TND,"Ezzahraà
				Ezzahra",https://www.mubawab.tn/fr/a/8176068/immeuble-narcos-%C3%A0-vendre-%C3%A0-ezzahra
250,5,2,False,False,False,False,False,False,False,Bon état,False,False,False,False,750 000 TND,"Radèsà
				Rades",https://www.mubawab.tn/fr/a/8177907/immeuble-invest-rodr%C3%ADguez-%C3%A0-vendre-%C3%A0-rades-plage
450,15,7,False,False,False,True,False,False,False,Bon état,False,False,True,False,950 000 TND,"BorjCedriaà
				HammamChatt",https://www.mubawab.tn/fr/a/8182678/immeuble-blankey-%C3%A0-vendre-%C3%A0-borj-cedria
