id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat,delegation
1,550,6,2,False,False,False,0,False,False,True,False,False,False,False,1670000,maison,36.8267841,10.1939122,cité el khadra,cité jardins
2,386,6,3,False,True,False,0,False,False,False,False,True,True,True,950000,maison,36.8133756,10.2930588,la goulette,la goulette
3,423,6,1,False,True,False,0,False,False,True,False,True,True,False,1280000,maison,36.8683104,10.3206273,la marsa,cité les pins
4,150,4,3,False,True,False,0,False,False,False,True,False,False,True,650000,maison,33.7652032,11.0173648,aghir,Non spécifié
5,400,4,3,False,False,True,0,False,False,True,True,True,True,True,1050000,maison,36.4012665,10.5572827,hammamet,hammamet
6,350,5,4,False,False,False,0,False,False,True,False,True,True,True,1200000,maison,36.4356376,10.6322692,hammamet,hammamet nord
7,216,3,2,False,False,False,0,False,False,True,False,True,True,True,750000,maison,36.4012665,10.5572827,hammamet,hammamet
8,292,3,3,False,True,False,0,True,False,True,False,True,True,False,1380000,maison,36.8547834,10.2985614,le kram,les jardins de carthage
9,200,4,2,False,False,False,0,True,False,True,False,False,True,True,985000,maison,36.8852466,10.2438059,la soukra,chotrana 2
10,2400,4,1,False,False,False,0,True,False,True,False,True,False,True,2300000,maison,36.4012665,10.5572827,hammamet,hammamet
11,145,6,1,False,True,False,0,False,False,False,True,False,False,False,275000,maison,35.8419792,10.6249068,sousse corniche,Non spécifié
12,140,2,2,False,True,False,0,False,False,False,True,True,True,False,830000,maison,36.9051527,10.2982512,la marsa,gammarth
13,280,4,3,False,True,False,0,False,False,True,False,True,True,False,1750000,maison,36.8917433,10.3116247,la marsa,gammarth supérieur
14,538,3,2,False,True,False,0,False,False,True,False,True,True,False,1900000,maison,36.8539076,10.321998,carthage,carthage
15,500,5,2,False,True,True,0,False,False,True,False,False,False,False,4500000,maison,36.8539076,10.321998,carthage,carthage
16,160,3,2,False,True,False,0,False,False,False,False,False,False,False,380000,maison,35.851517017,10.58911496,hammam sousse ghrabi,Non spécifié
17,137,5,3,False,True,True,0,False,False,True,False,True,False,True,580000,maison,33.824557,11.0069239,midoun,midoune
