id,categorie_df_results,categorie_df_final
687a2a81d5464a896caf94d1,villa,Villa
69429672cd04d08be74c63b7,villa,Villa
694257f28914daae519cbc60,villa,Villa
6852dd0f8a733cfc286dcaf0,villa,Villa
6932d0af8914daae51964b23,villa,Villa
69426a45cd04d08be74c4ca8,villa,Villa
694143dbcd04d08be74bcba7,villa,Villa
693c852f8914daae519a813d,villa,Villa
67877bc97041684afec34d19,maison,Villa
693296f8cd04d08be745b041,villa,Villa
678798cb7041684afec3698d,villa,Villa
69383ff08914daae5198a405,maison,Villa
693c9049cd04d08be74a10c2,villa,Villa
6914610a145e1617cba4010d,autre,Villa
694278398914daae519cc9dc,villa,Villa
69429127cd04d08be74c60d9,villa,Villa
67879dcded6f33de58c303a5,villa,Villa
694291c38914daae519cd810,maison,Villa
690b0fb56490817594e3d6d1,villa,Villa
690ce35a8e4e0e4acb5ea7ac,villa,Villa
693c3d0fcd04d08be749e2e5,maison,Villa
67879ca7ed6f33de58c302a5,villa,Villa
69416d7c8914daae519c5da2,villa,Villa
694195adcd04d08be74c00ed,appartement,Villa
69419fc9cd04d08be74c0763,villa,Villa
68ee58843e7ffb8ac15acd0a,villa,Villa
694167cd8914daae519c599c,villa,Villa
694160b08914daae519c5536,villa,Villa
6941b5de8914daae519c8e23,autre,Villa
6941a3d48914daae519c80fb,appartement,Villa
6941856f8914daae519c6dde,villa,Villa
67c846fe93928ac5bc1709fc,villa,Villa
68ff47be88bfe5662475cc53,appartement,Villa
68ff494f88bfe5662475cd1b,villa,Villa
69416b648914daae519c5bf8,villa,Villa
694153b4cd04d08be74bd632,maison,Villa
68d54ec0516f1ddb82e2e5ed,villa,Villa
6915c21d265523b710e3e67d,villa,Villa
6936eef2cd04d08be74784ad,maison,Villa
6909bf9b8e4e0e4acb5ce6f0,villa,Villa
6937cc89cd04d08be747d9f3,villa,Villa
68fb82afb756576ab407ba0b,villa,Villa
6924bb77145e1617cbabd307,villa,Villa
69414b7ecd04d08be74bd0b3,autre,Villa
68b800dddf9d8936c1059732,villa,Villa
68db953d516f1ddb82e6770a,villa,Villa
68d555fc516f1ddb82e2ec8d,villa,Villa
691f4fd8265523b710e8839b,villa,Villa
68b5832a711369bbe4f59d3b,villa,Villa
69415e7a8914daae519c5398,maison,Villa
69411a83cd04d08be74bafcc,maison,Villa
6924a46c6e0dc7ea5e33d9ef,villa,Villa
6903440bb756576ab40bdb04,villa,Villa
69272e5e265523b710ebc76a,maison,Villa
690dc9fe145e1617cb9e786c,maison,Villa
679369766286c2414574dd31,appartement,Villa
690cdc4f8e4e0e4acb5ea2e7,villa,Villa
68d17789516f1ddb82e091e3,villa,Villa
694001a7cd04d08be74b40d4,appartement,Villa
693832b08914daae5198990a,villa,Villa
6940008ecd04d08be74b4020,villa,Villa
67a32861ecbb2843cb40a88b,villa,Villa
68ce8e4f07c7711d7c712a98,villa,Villa
69400c988914daae519bbc86,villa,Villa
6940462b8914daae519be18d,maison,Villa
684717668bda81f7f5d8d543,villa,Villa
694002e88914daae519bb687,villa,Villa
6939442bcd04d08be7488947,villa,Villa
6940221f8914daae519bcb12,maison,Villa
694013b6cd04d08be74b4c56,villa,Villa
68e683a4e7035d31a41258b3,villa,Villa
69402c04cd04d08be74b5d30,villa,Villa
69249652265523b710eaebb2,villa,Villa
68b81190711369bbe4f73ed8,villa,Villa
685fb08194cd0376dccf9066,villa,Villa
68dfa31ee7035d31a40e3df5,villa,Villa
693fc91be922eb04d002c841,villa,Villa
693f12fd8914daae519b675c,villa,Villa
691c4878145e1617cba7e1e9,villa,Villa
68c05825c4782c5427af7667,villa,Villa
693ef349cd04d08be74addea,appartement,Villa
