id,haut_standing_df_results,haut_standing_df_final
687a2a81d5464a896caf94d1,False,False
69429672cd04d08be74c63b7,True,False
694257f28914daae519cbc60,False,False
6852dd0f8a733cfc286dcaf0,True,False
6932d0af8914daae51964b23,False,False
69426a45cd04d08be74c4ca8,False,False
694143dbcd04d08be74bcba7,False,False
693c852f8914daae519a813d,False,False
67877bc97041684afec34d19,True,False
693296f8cd04d08be745b041,False,False
678798cb7041684afec3698d,False,False
69383ff08914daae5198a405,False,False
693c9049cd04d08be74a10c2,False,False
6914610a145e1617cba4010d,False,False
694278398914daae519cc9dc,False,False
69429127cd04d08be74c60d9,False,False
67879dcded6f33de58c303a5,False,False
694291c38914daae519cd810,False,False
690b0fb56490817594e3d6d1,False,False
690ce35a8e4e0e4acb5ea7ac,False,False
693c3d0fcd04d08be749e2e5,False,False
67879ca7ed6f33de58c302a5,False,False
69416d7c8914daae519c5da2,False,False
694195adcd04d08be74c00ed,False,False
69419fc9cd04d08be74c0763,False,False
68ee58843e7ffb8ac15acd0a,False,False
694167cd8914daae519c599c,False,False
694160b08914daae519c5536,False,False
6941b5de8914daae519c8e23,False,False
6941a3d48914daae519c80fb,False,False
6941856f8914daae519c6dde,False,False
67c846fe93928ac5bc1709fc,False,False
68ff47be88bfe5662475cc53,False,False
68ff494f88bfe5662475cd1b,False,False
69416b648914daae519c5bf8,False,False
694153b4cd04d08be74bd632,False,False
68d54ec0516f1ddb82e2e5ed,False,False
6915c21d265523b710e3e67d,True,False
6936eef2cd04d08be74784ad,False,False
6909bf9b8e4e0e4acb5ce6f0,True,False
6937cc89cd04d08be747d9f3,False,False
68fb82afb756576ab407ba0b,False,False
6924bb77145e1617cbabd307,False,False
69414b7ecd04d08be74bd0b3,False,False
68b800dddf9d8936c1059732,False,False
68db953d516f1ddb82e6770a,False,False
68d555fc516f1ddb82e2ec8d,False,False
691f4fd8265523b710e8839b,False,False
68b5832a711369bbe4f59d3b,False,False
69415e7a8914daae519c5398,False,False
69411a83cd04d08be74bafcc,False,False
6924a46c6e0dc7ea5e33d9ef,False,False
6903440bb756576ab40bdb04,False,False
69272e5e265523b710ebc76a,False,False
690dc9fe145e1617cb9e786c,False,False
679369766286c2414574dd31,False,False
690cdc4f8e4e0e4acb5ea2e7,False,False
68d17789516f1ddb82e091e3,False,False
694001a7cd04d08be74b40d4,False,False
693832b08914daae5198990a,False,False
6940008ecd04d08be74b4020,True,False
67a32861ecbb2843cb40a88b,True,False
68ce8e4f07c7711d7c712a98,False,False
69400c988914daae519bbc86,False,False
6940462b8914daae519be18d,False,False
684717668bda81f7f5d8d543,False,False
694002e88914daae519bb687,True,False
6939442bcd04d08be7488947,False,False
6940221f8914daae519bcb12,False,False
694013b6cd04d08be74b4c56,False,False
68e683a4e7035d31a41258b3,True,False
69402c04cd04d08be74b5d30,False,False
69249652265523b710eaebb2,False,False
68b81190711369bbe4f73ed8,False,False
685fb08194cd0376dccf9066,False,False
68dfa31ee7035d31a40e3df5,False,False
693fc91be922eb04d002c841,True,False
693f12fd8914daae519b675c,False,False
691c4878145e1617cba7e1e9,False,False
68c05825c4782c5427af7667,True,False
693ef349cd04d08be74addea,False,False
693ee732cd04d08be74ad72b,False,False
67712bb778b8a162a7740837,False,False
693fcea38914daae519b9cbf,False,False
693196f8145e1617cbb07c1c,True,False
693f54fdcd04d08be74b10bd,False,False
693fc3e08914daae519b9872,False,False
693fd9b1cd04d08be74b2cb6,False,False
693fca6ae922eb04d002c8c5,False,False
693fc58fcd04d08be74b245e,False,False
68b86674df9d8936c105f40d,False,False
693ff0298914daae519bacfa,False,False
693de9f68914daae519b034a,False,False
693e8fd9cd04d08be74aae1f,False,False
693ec06bcd04d08be74ac409,False,False
693e854ecd04d08be74aa9e0,False,False
693ebe6f8914daae519b396d,False,False
693dcb848914daae519af45c,False,False
693dd4bc8914daae519af965,False,False
693db4788914daae519ae6ca,False,False
693ed6b18914daae519b4524,False,False
6932bda7cd04d08be745c789,False,False
6920431d265523b710e8e670,False,False
690dce53145e1617cb9e7f95,True,False
67ee67e6ca3467b14e72c4cc,True,False
689f30d6ccec382a0d6d176d,False,False
68ee203f53fa6375757c15f1,False,False
69305bc0145e1617cbafffbd,False,False
6891d0d54ad00efe9738e0e8,True,False
6939864acd04d08be748b260,False,False
693d5c84cd04d08be74a46fe,False,False
6828550241532c94f15b5b2e,False,False
693d3c08cd04d08be74a38bb,False,False
685299e70e1c20e3eb0cda87,False,False
693c0d028914daae519a37e2,True,False
693c71488914daae519a763d,False,False
693c3e998914daae519a586f,False,False
693c281ecd04d08be749d527,False,False
692eb18a145e1617cbaf3567,False,False
693c69a4cd04d08be749fc98,False,False
693c6e188914daae519a7449,False,False
6911f8e6145e1617cba291cb,True,False
693c0956cd04d08be749c105,False,False
693c520e8914daae519a643e,False,False
693d1bcd8914daae519a9f96,False,False
692abab2265523b710ecfebc,False,False
693bce6dcd04d08be7499c75,False,False
693af444cd04d08be7495360,True,False
693c06ebcd04d08be749bfac,False,False
693bebbccd04d08be749aeee,False,False
693bc7828914daae519a0e4c,False,False
693bc781cd04d08be749995f,False,False
693a81f8cd04d08be7491013,True,False
69395d0c8914daae51991080,False,False
6900d307d0d95991e106dba4,False,False
69009424d0d95991e106a719,False,False
692459a0da5d3acb89b341ae,False,False
693ad2c08914daae5199b6a9,False,False
693ad8088914daae5199b95f,True,False
68c984c507c7711d7c6e21c2,False,False
66fc28c6e8a80c9b9f730629,False,False
693a8e1d8914daae51998c51,False,False
692da41b145e1617cbaed2af,True,False
691eeccc145e1617cba90f31,False,False
680630c6c5beda2b51cbedc2,False,False
691499d9145e1617cba42dbe,False,False
693a8d8b8914daae51998bf6,False,False
685d58a1d5464a896c9bd0a3,False,False
69394192cd04d08be7488765,False,False
68e22d456c505afdc05e9d51,False,False
68e92e5b3e7ffb8ac15808c0,False,False
693941cecd04d08be7488797,False,False
693963378914daae519913e5,False,False
6935c1bdcd04d08be7470136,False,False
692eaaaa265523b710ee5b5c,False,False
6939471dcd04d08be7488b54,False,False
673362ea0d8480a1e00c85b5,True,False
69394907cd04d08be7488ca3,False,False
6939a5edcd04d08be748c43c,False,False
68e3fc1f6c505afdc05fc112,False,False
69398de6cd04d08be748b6b7,False,False
691d9971265523b710e79094,False,False
69393c188914daae5198fb28,False,False
69398fdecd04d08be748b7c9,False,False
6939a553cd04d08be748c3f2,False,False
6937fe5b8914daae51987338,True,False
69385548cd04d08be7483737,False,False
691319b8265523b710e2749f,False,False
6938324f8914daae519898bc,False,False
69381969cd04d08be7480d0c,False,False
693825f28914daae51988f94,False,False
69382d6f8914daae5198952b,False,False
6938471ecd04d08be7482f68,False,False
679b9e4ea487ea2259c19664,False,False
6938116bcd04d08be7480877,False,False
693700498914daae51980ae3,False,False
69370d288914daae51981362,False,False
69258e3d145e1617cbac0f6b,False,False
6936d4da8914daae5197e9a0,False,False
6936ced68914daae5197e516,True,False
69174ccd145e1617cba59947,True,False
6937ecf0cd04d08be747eba7,False,False
6936faa1cd04d08be7478d4c,False,False
682dddb76238a0abfdd47200,False,False
6936f59f8914daae519803e3,False,False
69370216cd04d08be7479193,False,False
69373412cd04d08be747b3cc,False,False
6937f327cd04d08be747f032,False,False
69365de08914daae5197ac4c,False,False
66db19c667b755ba921ac4d8,False,False
6936a917cd04d08be7475133,False,False
6935e7c78914daae5197931d,False,False
6936c522cd04d08be7476417,False,False
69365ef88914daae5197ac72,False,False
69369cf68914daae5197c350,False,False
69365d4a8914daae5197ac37,False,False
6935bdff8914daae51977a37,False,False
6935f70bcd04d08be7472086,False,False
6935edd28914daae519796ac,False,False
67cacfdf93928ac5bc1870c5,False,False
67361b153c20a99fb5500bb2,False,False
693629bacd04d08be7472d30,False,False
6935d3d78914daae519785cd,False,False
68c80044516f1ddb82da9b6d,False,False
692f0719265523b710ee9780,False,False
6934abaccd04d08be746a6f8,False,False
693461288914daae5196f842,False,False
693413c1cd04d08be74654cf,False,False
69342aef8914daae5196dc8d,False,False
68f62050b756576ab404a7a8,False,False
693546fc8914daae5197407e,False,False
685030018bda81f7f5ddf6f6,False,False
6821ba04cb21b3571b421a9a,False,False
685128450e1c20e3eb0bd78a,False,False
69356aa68914daae519750b5,False,False
6918395e265523b710e526af,False,False
6935bb7e8914daae5197791c,False,False
69357498cd04d08be746d9ec,False,False
69276a02145e1617cbacb81e,False,False
693418f5cd04d08be7465750,False,False
69346bdbcd04d08be74682d2,False,False
68ef91573e7ffb8ac15b77d6,False,False
6932e54a8914daae5196574e,True,False
68e9206653fa6375757974f1,False,False
69340d108914daae5196cc5d,False,False
68f383fbd0d95991e1ff9b74,False,False
69189dc6265523b710e5608c,False,False
6932dc1dcd04d08be745d8a3,False,False
6932bdafcd04d08be745c78e,False,False
693303938914daae51966a03,False,False
68bf01fdc4782c5427ae9adc,False,False
693306dccd04d08be745f2ac,False,False
68bc3f47985e647fd0e8f49d,False,False
69330ba1cd04d08be745f52a,False,False
69208ebf145e1617cba9f0e6,False,False
6933f808cd04d08be7464553,False,False
6932da50cd04d08be745d78c,False,False
69340e6dcd04d08be74651ed,False,False
691eeb2c265523b710e8392c,True,False
68de3a416c505afdc05c7c2d,False,False
693141d1145e1617cbb0472b,False,False
69315435145e1617cbb05082,False,False
68d65b35516f1ddb82e377c8,False,False
6931d331265523b710efc8cc,False,False
6931a7d5265523b710efb2d3,False,False
69314f65145e1617cbb04dc1,False,False
6931ddc3145e1617cbb0a052,False,False
6931d371265523b710efc8f0,False,False
693191a2265523b710efa62c,False,False
6931aaee145e1617cbb087a0,False,False
692d5781145e1617cbaea371,False,False
6931ab9a145e1617cbb08809,False,False
69300eb9265523b710eefd9b,False,False
68e0d4c7e7035d31a40eedf4,False,False
693063ed265523b710ef3021,False,False
685455d38a733cfc286ebd5d,False,False
69302a82145e1617cbafe305,False,False
69304fb2265523b710ef24a2,False,False
68bc5851c4782c5427ad08da,False,False
692f7038145e1617cbafa5a6,False,False
692d544a265523b710edcbd9,False,False
69301d87265523b710ef07fe,False,False
692f79f1265523b710eed34b,False,False
692f251b145e1617cbaf7dba,False,False
6930e3f9145e1617cbb038f7,False,False
68ce751407c7711d7c71145a,False,False
692f054b145e1617cbaf6b1b,False,False
693066c1145e1617cbb0054b,False,False
692efe80265523b710ee91ba,False,False
692d7f70145e1617cbaebcc8,False,False
692dbcf2145e1617cbaee11b,False,False
692ecf0d145e1617cbaf4998,False,False
692eab23145e1617cbaf315c,True,False
6924415eda5d3acb89b3377a,False,False
692db450265523b710ee05c0,True,False
692ee5ff265523b710ee8193,True,False
68fb870bd0d95991e10411da,False,False
692dd570145e1617cbaeeefd,False,False
692d69a6265523b710edd899,False,False
691f82c8145e1617cba97c87,False,False
692d7f45265523b710ede679,False,False
692eac31145e1617cbaf3205,False,False
692d7d8a265523b710ede565,False,False
692dba9f265523b710ee09ad,False,False
692d57e0265523b710edcd57,False,False
69023361d0d95991e107a24e,False,False
692c58f4145e1617cbae5b27,False,False
692c366f145e1617cbae4c59,False,False
692ae766265523b710ed14af,False,False
69244122145e1617cbab9bea,False,False
692c96b7265523b710ed9e4b,False,False
692c3a2d145e1617cbae4e4e,False,False
692c7b373f69a851e0bb46f6,False,False
690a2e8e6490817594e37938,True,False
692b543c145e1617cbae18b7,False,False
68deb88a6c505afdc05cbd39,False,False
692c34c13872f35e61c47bf9,False,False
692b6623145e1617cbae1f36,False,False
692c5102265523b710ed81a1,False,False
692c3a30265523b710ed7815,False,False
692c7acc145e1617cbae686e,False,False
692c5f46265523b710ed87d0,False,False
692c3a86265523b710ed783a,False,False
6913a608145e1617cba3b68f,False,False
6711244e1cde9a414fa9438c,False,False
6929f0a6265523b710ecc5e6,False,False
69221023145e1617cbaa981b,False,False
6929822e145e1617cbad6a9d,False,False
67b83bbbbf049e957eabc6ff,True,False
6929ab43f6824a8059169b08,False,False
687237fed5464a896ca9c97d,False,False
681f3268a9299683d0a944d0,False,False
6929d4b9145e1617cbad90e4,False,False
6929e4c2265523b710ecc196,False,False
68da6ea974e03a77e7ab8414,False,False
68023682c1f8f57898db1d01,False,False
68e52f0fe7035d31a41187b4,False,False
691d77e8265523b710e77703,True,False
692ac16d265523b710ed0210,True,False
6929a2287c1b75e049921517,False,False
69289a3b265523b710ec4739,False,False
690b66948e4e0e4acb5ddcfa,False,False
68d3fad507c7711d7c74a01a,False,False
69295c0c145e1617cbad57ca,True,False
68b0848a82a3d05f2394ce9b,False,False
6929020b145e1617cbad4952,False,False
692883d9465e3fc37e6e85d3,True,False
6928761a265523b710ec3550,False,False
69273820145e1617cbaca2eb,False,False
69280ffb265523b710ec0673,False,False
692733bd265523b710ebc9a1,False,False
6926055d145e1617cbac456f,False,False
69272fd8265523b710ebc816,False,False
69282dee265523b710ec164b,False,False
687907d5d5464a896caec9be,False,False
692750c1265523b710ebd53d,False,False
6911f87a145e1617cba29128,False,False
6926c6d6265523b710eb9996,False,False
69245c18265523b710eacfb7,False,False
6925b7ee265523b710eb4afb,False,False
68714f13d5464a896ca94e2b,False,False
6924d0df145e1617cbabdcac,False,False
6924a80a6e0dc7ea5e33db7f,False,False
69248e2e145e1617cbabbf4d,False,False
692479bdda5d3acb89b35102,False,False
692588bf9ae0bfe01c80f03a,False,False
6925c6ca145e1617cbac2a33,False,False
69257b7f265523b710eb2e41,False,False
6924c483145e1617cbabd730,False,False
68cc022f07c7711d7c6f9bbc,False,False
69258131c988d694371576d3,False,False
69208016265523b710e910ad,False,False
6925cae5265523b710eb53c8,True,False
691d98c8265523b710e79005,False,False
692456fe145e1617cbaba560,False,False
69233b04265523b710ea494c,False,False
6924295a265523b710eab74d,False,False
690f55a6145e1617cba01645,False,False
6921e69d265523b710e9a9c9,False,False
6922ce19265523b710e9ffaa,False,False
69232d0b265523b710ea4000,False,False
6922e924265523b710ea11e8,False,False
6921f784145e1617cbaa89ff,False,False
6922fd00265523b710ea1f6f,False,False
6922fd3b265523b710ea1f87,False,False
68d5810107c7711d7c7592a3,True,False
6923416c145e1617cbab242d,False,False
6923254e145e1617cbab111b,False,False
68d7d777516f1ddb82e469fe,False,False
6807ce86c5beda2b51cd3ea9,False,False
69206796145e1617cba9d34a,False,False
69203646265523b710e8dd69,False,False
69204a01145e1617cba9c155,False,False
67e133cbca3467b14e6bbf19,True,False
68c54779e33e2deec930a3a7,False,False
690f4918145e1617cba00725,False,False
685acae7d5464a896c9a33e8,False,False
69208d23265523b710e91ab5,False,False
692159df145e1617cbaa3b9b,True,False
68c67604516f1ddb82d9aed5,False,False
680cec92c1f8f57898e2b0ad,False,False
69201720145e1617cba99f46,False,False
