id,surface_df_results,surface_df_final
687a2a81d5464a896caf94d1,125.0,424.0
69429672cd04d08be74c63b7,0.0,170.0
694257f28914daae519cbc60,250.0,495.0
6852dd0f8a733cfc286dcaf0,500.0,500.0
6932d0af8914daae51964b23,0.0,670.0
69426a45cd04d08be74c4ca8,460.0,460.0
694143dbcd04d08be74bcba7,0.0,400.0
693c852f8914daae519a813d,356.0,356.0
67877bc97041684afec34d19,275.0,220.0
693296f8cd04d08be745b041,500.0,413.0
678798cb7041684afec3698d,500.0,580.0
69383ff08914daae5198a405,70.0,75.0
693c9049cd04d08be74a10c2,400.0,500.0
6914610a145e1617cba4010d,0.0,1053.0
694278398914daae519cc9dc,1000.0,1000.0
69429127cd04d08be74c60d9,400.0,400.0
67879dcded6f33de58c303a5,300.0,1014.0
694291c38914daae519cd810,190.0,110.0
690b0fb56490817594e3d6d1,300.0,1400.0
690ce35a8e4e0e4acb5ea7ac,616.0,616.0
693c3d0fcd04d08be749e2e5,220.0,175.0
67879ca7ed6f33de58c302a5,240.0,1053.0
69416d7c8914daae519c5da2,261.0,261.0
694195adcd04d08be74c00ed,0.0,129.0
69419fc9cd04d08be74c0763,250.0,440.0
68ee58843e7ffb8ac15acd0a,550.0,550.0
694167cd8914daae519c599c,150.0,300.0
694160b08914daae519c5536,200.0,300.0
6941b5de8914daae519c8e23,0.0,1.0
6941a3d48914daae519c80fb,0.0,170.0
6941856f8914daae519c6dde,154.0,
67c846fe93928ac5bc1709fc,200.0,574.0
68ff47be88bfe5662475cc53,0.0,100.0
68ff494f88bfe5662475cd1b,340.0,340.0
69416b648914daae519c5bf8,400.0,400.0
694153b4cd04d08be74bd632,150.0,150.0
68d54ec0516f1ddb82e2e5ed,440.0,400.0
6915c21d265523b710e3e67d,0.0,575.0
6936eef2cd04d08be74784ad,0.0,140.0
6909bf9b8e4e0e4acb5ce6f0,240.0,312.0
6937cc89cd04d08be747d9f3,269.0,269.0
68fb82afb756576ab407ba0b,250.0,1600.0
6924bb77145e1617cbabd307,250.0,1600.0
69414b7ecd04d08be74bd0b3,0.0,100.0
68b800dddf9d8936c1059732,420.0,452.0
68db953d516f1ddb82e6770a,590.0,590.0
68d555fc516f1ddb82e2ec8d,400.0,367.0
691f4fd8265523b710e8839b,250.0,580.0
68b5832a711369bbe4f59d3b,640.0,460.0
69415e7a8914daae519c5398,90.0,90.0
69411a83cd04d08be74bafcc,0.0,1.0
6924a46c6e0dc7ea5e33d9ef,673.0,673.0
6903440bb756576ab40bdb04,400.0,515.0
69272e5e265523b710ebc76a,0.0,10.0
690dc9fe145e1617cb9e786c,140.0,140.0
679369766286c2414574dd31,0.0,294.0
690cdc4f8e4e0e4acb5ea2e7,0.0,600.0
68d17789516f1ddb82e091e3,0.0,467.0
694001a7cd04d08be74b40d4,160.0,160.0
693832b08914daae5198990a,260.0,260.0
6940008ecd04d08be74b4020,775.0,775.0
