prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon
530000.0,0,424.0,3.0,1.0,0,0,1,0,1,0,1,0,0,0,0,36.8133756,10.2930588
650000000.0,0,495.0,8.0,4.0,0,1,1,2,1,0,1,0,0,1,0,36.88266445,10.179112983298108
1150000.0,0,500.0,7.0,5.0,1,1,0,3,1,0,1,1,1,1,0,36.83561325,10.158361532128072
1800000.0,0,670.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8491513,10.1745134
400000.0,0,460.0,6.0,3.0,0,0,0,4,1,0,0,0,0,0,0,36.742946,10.2507635
1250000.0,0,356.0,4.0,3.0,0,0,0,2,1,0,0,0,0,0,1,36.8142752,10.1374251
630000.0,0,275.0,3.0,2.0,1,0,0,2,1,0,1,0,1,1,0,36.767891,10.2724617
800000.0,0,500.0,6.0,3.0,0,0,0,2,1,0,0,0,0,1,0,36.767891,10.2724617
1300000.0,0,580.0,7.0,2.0,0,0,1,3,1,0,1,1,1,1,0,36.767891,10.2724617
130000.0,0,75.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.7188,10.3377872
650000000.0,0,500.0,4.0,2.0,0,0,0,2,1,0,1,0,0,0,0,36.88266445,10.179112983298108
545000.0,0,400.0,3.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.7188,10.3377872
2400000.0,0,1014.0,6.0,4.0,0,0,0,2,1,0,1,0,1,1,0,36.767891,10.2724617
420000.0,0,190.0,5.0,3.0,0,1,1,3,0,0,0,0,0,0,0,36.8548305,10.2847586
850000.0,0,1400.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,36.587213299999995,10.2437597
1850000.0,0,616.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,36.848456150000004,10.163424432628062
350000.0,0,220.0,8.0,2.0,0,1,0,1,0,0,0,0,0,0,0,36.8052747,10.12655322024668
1300000.0,0,1053.0,5.0,2.0,0,0,1,2,0,0,1,0,0,1,0,36.767891,10.2724617
295000.0,1,129.0,4.0,3.0,0,0,0,2,1,0,0,0,0,0,0,36.88266445,10.179112983298108
600000.0,0,440.0,5.0,4.0,0,1,1,2,0,0,1,0,0,0,0,36.88266445,10.179112983298108
1500000.0,0,550.0,12.0,3.0,0,1,0,3,1,0,1,0,0,0,0,36.83561325,10.158361532128072
529999.0,0,300.0,4.0,4.0,0,0,1,2,0,0,0,0,0,0,0,36.8346533,10.129857933607912
390000.0,0,300.0,4.0,2.0,0,0,0,0,1,0,0,0,0,0,0,36.9208825,10.1371088
300000000.0,1,170.0,4.0,2.0,0,1,1,0,0,0,0,0,0,0,0,36.8606537,10.2087006
430000.0,0,154.0,3.0,2.0,0,0,0,0,1,0,0,0,0,1,0,36.7404497,10.3029461
370000.0,1,100.0,4.0,2.0,0,0,0,3,0,0,0,0,1,1,0,36.9051527,10.2982512
1399999.0,0,340.0,5.0,2.0,0,0,0,0,1,0,1,0,1,1,0,36.9051527,10.2982512
1300000.0,0,400.0,7.0,3.0,0,1,0,3,1,0,1,0,1,1,0,36.83561325,10.158361532128072
270000.0,0,150.0,2.0,2.0,0,0,0,2,0,0,1,0,0,0,0,36.742946,10.2507635
1280000.0,0,440.0,5.0,4.0,0,0,0,2,1,0,1,0,1,1,0,36.8815146,10.170871
390000.0,0,140.0,4.0,1.0,0,1,0,3,0,0,0,0,0,0,0,33.8439408,9.400138
280000.0,0,269.0,4.0,1.0,0,1,1,0,0,0,0,0,0,0,0,35.15881,8.8307812
950000.0,0,1600.0,3.0,2.0,0,0,0,0,1,0,1,0,1,1,0,36.9085108,10.0425496
950000.0,0,1600.0,3.0,2.0,0,0,0,3,1,0,1,0,1,1,0,36.9085108,10.0425496
1600000.0,0,590.0,6.0,3.0,0,1,0,2,1,0,1,0,0,1,1,36.8815146,10.170871
1250000.0,0,400.0,4.0,3.0,0,0,0,2,0,0,1,0,0,0,0,36.8421942,10.1131594
950000.0,0,580.0,7.0,3.0,0,1,0,7,1,0,1,0,0,1,0,36.8212581,10.1531771
1400000.0,0,640.0,5.0,4.0,0,0,0,5,1,0,1,0,0,0,0,36.8491478,10.2639359
240000.0,0,90.0,2.0,1.0,0,0,0,2,0,0,0,0,0,0,0,36.7404497,10.3029461
1500000.0,0,673.0,5.0,3.0,0,0,1,2,0,0,1,0,0,0,1,36.848456150000004,10.163424432628062
980000.0,0,515.0,6.0,3.0,0,0,1,2,1,0,1,0,0,0,0,36.8336187,10.1471736
295000.0,0,140.0,3.0,2.0,0,1,0,2,0,0,0,0,0,0,0,36.8346533,10.129857933607912
480000.0,1,294.0,4.0,2.0,0,1,1,2,1,0,0,0,1,1,0,36.8336187,10.1471736
1600000.0,0,600.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8491513,10.1745134
1600000.0,0,467.0,5.0,3.0,0,0,0,2,0,0,0,0,0,0,0,36.8491513,10.1745134
600000.0,1,160.0,4.0,3.0,0,1,0,1,0,0,0,0,0,0,0,36.8790882,10.327678
950000.0,0,775.0,8.0,6.0,1,0,0,2,0,0,1,0,0,0,0,36.8749751,10.2454267
985000.0,0,490.0,4.0,3.0,1,0,0,2,1,0,1,0,1,1,1,36.88266445,10.179112983298108
750000.0,0,244.0,5.0,4.0,0,1,1,2,1,0,1,0,1,1,0,36.8668995,10.15447030677053
2200000.0,0,950.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.9051527,10.2982512
1200000.0,0,547.0,5.0,4.0,0,0,0,0,1,0,0,0,0,0,0,36.829187,10.146311
950000.0,0,775.0,8.0,6.0,1,0,0,2,0,0,1,0,0,0,0,36.8811985,10.211819
950000.0,0,380.0,5.0,3.0,0,0,0,2,1,0,1,0,0,0,1,36.8348312,10.3181518
185000.0,0,100.0,6.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.7818973,10.0617881
2400000.0,0,450.0,7.0,5.0,1,0,0,2,1,0,1,0,0,0,1,36.8749751,10.2454267
1350000.0,0,300.0,4.0,3.0,0,0,1,1,1,0,1,0,1,1,1,36.8749751,10.2454267
850000.0,0,386.0,5.0,5.0,0,0,0,2,1,0,1,0,1,1,0,36.8790882,10.327678
