id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat
1,550,6,2,0,0,0,0,0,0,1,0,0,0,0,1670000,0,36.8267841,10.1939122,Ariana
748,260,5,2,0,1,0,0,0,0,1,0,0,0,0,1250000,0,36.8267841,10.1939122,Ariana
1157,67,1,1,0,0,0,2,0,1,1,0,0,1,0,267000,1,36.8267841,10.1939122,Ariana
1418,112,2,1,0,1,0,3,0,1,0,0,0,1,0,412000,1,36.8267841,10.1939122,Ariana
3026,90,0,1,0,0,0,4,0,0,0,0,0,0,0,210000,1,36.8267841,10.1939122,Ariana
4137,97,3,1,0,1,1,0,1,0,0,0,1,1,0,220000,1,36.8267841,10.1939122,Ariana
4573,67,1,1,0,0,0,1,0,1,1,0,1,1,0,265000,1,36.8267841,10.1939122,Ariana
2,386,6,3,0,1,0,0,0,0,0,0,1,1,1,950000,0,36.8133756,10.2930588,Ben Arous
763,450,14,4,0,1,0,0,0,0,1,0,0,1,0,1480000,0,36.8133756,10.2930588,Ben Arous
935,200,5,1,0,0,0,0,0,0,0,1,1,1,0,780000,0,36.8133756,10.2930588,Ben Arous
1331,102,2,1,0,1,1,3,1,1,0,1,1,1,0,440000,1,36.8133756,10.2930588,Ben Arous
1352,65,1,1,0,1,1,2,0,1,0,0,1,1,0,195000,1,36.8133756,10.2930588,Ben Arous
1878,57,1,1,0,1,1,3,0,1,0,1,1,1,0,370000,1,36.8133756,10.2930588,Ben Arous
1889,57,1,1,0,1,1,3,0,1,0,1,0,1,0,385000,1,36.8133756,10.2930588,Ben Arous
2377,63,1,1,0,1,1,0,0,0,0,1,0,0,0,365000,1,36.8133756,10.2930588,Ben Arous
2982,119,3,1,0,1,1,0,1,0,0,0,0,1,0,290000,1,36.8133756,10.2930588,Ben Arous
3066,53,1,1,0,0,0,1,0,1,0,0,1,1,0,180000,1,36.8133756,10.2930588,Ben Arous
3641,75,1,1,0,1,1,0,0,1,0,1,1,1,0,390000,1,36.8133756,10.2930588,Ben Arous
3822,200,2,1,0,1,0,0,0,0,1,0,0,0,0,380000,1,36.8133756,10.2930588,Ben Arous
3998,110,2,1,0,0,0,0,1,0,1,1,0,1,0,550000,1,36.8133756,10.2930588,Ben Arous
4029,65,2,1,0,1,1,0,0,1,0,0,1,1,0,230000,1,36.8133756,10.2930588,Ben Arous
4030,75,1,1,0,0,0,0,0,1,0,0,1,1,0,250000,1,36.8133756,10.2930588,Ben Arous
