prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon
228000,1,100.0,3.0,2.0,0,0,0,0.0,1,0,0,0,1,0,0,36.7541,10.273
295000,1,110.0,2.0,2.0,0,0,1,2.0,1,0,0,0,1,1,0,36.8578,10.1609
158000,1,75.0,2.0,1.0,0,0,1,2.0,1,0,0,0,0,1,0,36.7583,10.2819
230000,1,128.0,3.0,2.0,0,0,1,2.0,1,0,0,0,0,1,0,36.8543,10.1897
960000,1,175.0,3.0,1.0,1,0,1,1.0,1,0,0,0,1,1,0,36.8584,10.292
350000,1,139.0,2.0,1.0,0,0,1,3.0,1,0,0,0,0,1,0,36.8855,10.1786
235000,1,110.0,3.0,2.0,0,0,0,2.0,1,0,0,0,1,1,0,36.8644,10.1919
365000,1,125.0,2.0,3.0,1,1,1,4.0,1,1,0,0,1,1,0,36.8619,10.2713
339150,1,59.0,5.0,1.0,1,0,0,2.0,1,0,0,0,0,0,0,36.8553,10.3004
155000,1,99.0,2.0,1.0,0,0,0,4.0,1,0,0,1,0,0,0,36.7618,10.2569
595000,1,170.0,4.0,1.0,1,0,0,1.0,1,0,0,0,0,1,0,36.7757,10.2847
260000,1,110.0,2.0,2.0,0,0,1,2.0,1,0,0,0,0,1,0,36.87,10.1971
175000,1,98.0,3.0,2.0,0,0,1,4.0,1,0,0,1,0,1,0,36.737,10.2427
280000,1,126.0,3.0,1.0,0,0,1,3.0,1,1,0,0,0,0,0,36.8963,10.1781
530000,1,152.0,3.0,2.0,1,0,1,0.0,1,0,0,0,1,1,0,36.8458,10.1987
279700,1,110.0,2.0,1.0,1,1,0,0.0,1,0,0,0,0,1,0,36.8928,10.1764
680000,1,156.0,2.0,2.0,1,1,0,1.0,1,0,0,1,0,0,0,36.8638,10.2895
130000,1,44.0,1.0,1.0,0,0,0,3.0,1,1,0,0,0,0,0,36.7054,10.4113
304000,1,208.0,3.0,1.0,0,0,0,0.0,1,0,0,0,1,0,0,36.8079,10.1161
150000,1,75.0,3.0,1.0,0,0,1,2.0,1,0,0,0,0,0,0,36.7617,10.2832
520000,1,290.0,4.0,3.0,1,0,0,2.0,1,0,0,0,0,0,0,36.905,10.1885
140000,1,100.0,2.0,1.0,0,1,0,4.0,1,1,0,0,1,1,0,36.7365,10.243
178000,1,60.0,1.0,1.0,0,0,1,2.0,1,0,0,0,0,1,0,36.8676,10.1624
450000,1,160.0,3.0,2.0,1,0,0,2.0,1,0,0,0,1,1,0,36.9025,10.1734
180000,1,103.0,2.0,1.0,0,0,0,2.0,1,0,0,0,0,0,0,36.7398,10.2439
165000,1,75.0,2.0,1.0,0,0,1,3.0,1,0,0,0,0,0,0,36.7444,10.2953
297000,1,59.0,2.0,1.0,1,0,0,1.0,0,0,0,0,0,0,0,36.863,10.1505
305000,1,111.0,2.0,2.0,1,0,1,3.0,1,0,0,0,1,1,0,36.7337,10.2957
450000,1,120.0,3.0,2.0,0,0,1,0.0,1,0,0,0,1,1,0,36.8673,10.1632
400000,1,120.0,2.0,1.0,0,0,1,1.0,1,0,0,0,1,1,0,36.8674,10.2961
249000,1,118.0,3.0,2.0,0,0,1,3.0,1,0,0,0,0,0,0,36.8375,10.1917
450000,1,155.0,4.0,2.0,0,0,1,2.0,1,1,0,0,1,1,0,36.863,10.1541
1270000,1,249.0,4.0,2.0,1,1,0,1.0,1,0,1,0,0,0,0,36.8487,10.2955
1350000,1,247.0,3.0,3.0,1,0,1,0.0,1,0,1,1,1,1,0,36.8646,10.1552
535000,1,133.0,3.0,2.0,1,0,1,2.0,1,0,0,0,0,0,0,36.8597,10.2845
130000,1,108.0,3.0,1.0,0,0,1,4.0,1,0,0,0,0,0,0,36.8818,10.2058
335000,1,110.0,3.0,1.0,0,0,0,3.0,1,1,0,0,0,1,0,36.8555,10.1554
360000,1,107.0,3.0,2.0,0,1,1,1.0,1,0,0,0,1,1,0,36.7399,10.2989
370000,1,124.0,3.0,2.0,1,0,1,1.0,1,1,0,0,1,1,0,36.8054,10.0919
580000,1,216.0,4.0,3.0,1,1,1,5.0,1,1,0,1,1,0,0,36.741,10.2538
123000,1,80.0,2.0,1.0,0,0,1,3.0,1,0,0,0,0,0,0,36.8069,10.1038
245000,1,100.0,3.0,1.0,0,0,1,2.0,1,0,0,0,0,0,0,36.7571,10.2756
352000,1,141.0,3.0,3.0,1,1,0,4.0,1,1,0,0,0,0,0,36.8115,10.0771
